link;volume
-128265508;2
-128309194#0;9
-128309194#1;35
-128309196#0;19
-128309196#1;0
-128309615;1
-128432449;17
-128545230;63
-12872853;6
-12874483#1;25
-12874971;447
-128751521#0;41
-128843771;46
-129113124;24
-129113125;35
-129113126;35
-129114173;1626
-129213421;2
-129369119;2
-129369126;4
-129370471;12
-129436955;15
-129540931;416
-129540932;368
-129542854;368
-129553639#0;368
-129649468#0;0
-129649468#1;10
-129846000;4
-129956805#0;40
-129956805#2;40
-129956805#3;42
-129956805#4;45
-129956805#5;46
-129960715;12
-130101860;37
-130101861;55
-130102123#0;12
-130102123#1;14
-130102123#2;14
-130102124#0;7
-130102125;5
-13015545;39
-13015547;893
-13015552;140
-13015555;28
-130264579;0
-130762484;34
-13087768#1;3183
-13087772;474
-131321128;10
-131335169;22
-131423775;13
-131423776;7
-131423777;10
-131563951;0
-131564340;3
-131676382;1535
-131676388;390
-131676399;545
-131677109#1;399
-131677110#1;1336
-131681350#1;1460
-131716350#0;136
-131716350#1;101
-131716356;651
-131716358#1;877
-131716360#0;8
-131716360#1;2
-131716360#2;4
-131716364;8
-131716376;19
-131716379;6
-131716384;12
-131834648;297
-131835728#1;374
-131836402#0;339
-131836402#1;321
-131895950;7
-131896769#0;12
-131896769#1;9
-131896769#2;9
-132034714#0;119
-132077664;160
-132079554;5
-132762577#0;6
-132762577#1;12
-132762580#0;1
-132762580#1;2
-132786488#0;3
-132786488#1;1
-132787680#0;0
-132787680#1;0
-132796017;524
-132796018;522
-132816135;282
-132816138#0;139
-132816138#1;149
-132816994;2
-132816995;16
-132816996#0;114
-132816996#2;122
-132816996#4;237
-132834795#0;23
-132834795#1;63
-132834795#2;73
-132834795#3;97
-132834795#4;226
-132834796;44
-132869168;1397
-132929031#0;177
-132929031#1;30
-132929031#2;31
-132929035;18
-132962593;0
-132966354;18
-133073078#0;1
-133073078#1;8
-133074285;279
-133074287;282
-133074292;130
-133280115;103
-133295485;0
-133369763;245
-133502818;40
-133504465#1;21
-133504466;0
-133533546;55
-133546205#0;638
-133546205#1;642
-133546205#2;630
-133546205#3;641
-133546205#4;615
-133546205#5;704
-133546205#6;734
-133546206#0;631
-133547704;1707
-133547705;1881
-133549443#0;63
-133549443#1;13
-133618741;741
-133665697;26
-133667368;72
-133667370;82
-133667371;95
-133667372#0;111
-133667372#1;74
-133667377;27
-133744910#0;21
-133744910#1;18
-133744918;0
-133764501;15
-133781599;2
-133868700;310
-133897250;21
-133897251;3
-133897253#0;59
-133897253#2;72
-133902936#0;1
-133902936#1;1
-134212050;5
-134430599;79
-134521968;95
-134636726#0;38
-134636726#1;48
-134636726#2;102
-134752211;54
-134758307;35
-134895612#0;158
-134895612#1;163
-134895613#0;265
-134989786#0;399
-134989786#1;403
-134989786#3;359
-134989786#4;354
-134989787;417
-134989788;93
-134989790;450
-134989791;486
-134989795;2
-135005505#1;788
-135005510#2;1287
-135005511;39
-135005514#0;356
-135005514#1;300
-135005514#3;319
-135005514#4;300
-135005522;178
-135005526;173
-135310964;3
-135312650;2
-135312652;2
-135312653;8
-135312654;0
-135312658;5
-135312659;12
-135320490;0
-135320492;1
-13538020;33
-13538121;38
-13539553#0;9
-13539553#2;13
-13539851#0;18
-13540060#1;70
-13540060#2;51
-135405604#1;1828
-135405606#1;1828
-135405608;1037
-135406262;1753
-135406266;1753
-135406273#2;1777
-135406274#1;1773
-135406280;1963
-135409175#1;834
-13541272#1;222
-135412844#0;286
-135412844#1;276
-13541491;264
-13542612#1;662
-13542612#3;660
-135439479#2;1098
-135450510;925
-13547851#0;38
-13547862;25
-13548238;12
-13549254;58
-13549505#1;27
-13549505#2;47
-13549505#4;82
-13550193;64
-135514658;860
-135537388;113
-135537698#0;21
-135537698#1;0
-135699593;1
-135727031;2
-135734895;8
-135742147;238
-135742328;245
-135850981;16
-135852568#0;2
-135852568#1;2
-135916997;33
-135917618;9
-135917619;19
-135966984#0;1
-135966984#1;16
-136135428;318
-136194645;3
-136327215;2
-136362985;152
-136390089;2
-136393801#0;3
-136393801#1;2
-136393801#2;4
-136447380;2
-136485127#0;126
-136485127#1;184
-136485658;623
-136485663#0;148
-136485663#1;106
-136485663#2;65
-136485664;189
-136546907#1;12
-136549115#0;24
-136549115#1;17
-136550978;190
-136573638;47
-136741518#0;6
-136741518#1;3
-136803159;12
-136803160;22
-136803161;6
-136803162;13
-136880469;1
-136880471#0;6
-136880471#1;7
-137083723;40
-137103742;5
-13713517#0;1194
-13713517#1;1030
-137265198;102
-137268121;1236
-137268123;354
-137270182#0;273
-137270182#1;300
-137270182#2;246
-137272665;4
-137272943;0
-137272944;0
-137373924;149
-137375848;30
-137379574#0;784
-137379574#1;808
-137379574#2;696
-137379574#4;732
-137379574#5;734
-137379574#6;698
-137381525;54
-137381526;39
-137382472#0;3
-137382472#1;1
-137382472#2;1
-137505673#0;393
-137505673#1;339
-137793320#3;758
-137793331;12
-137793336#2;357
-137793344#2;549
-137793348#0;2
-137793348#2;0
-137793354;62
-137793355#1;96
-137793355#2;142
-137793358;520
-137793371#0;1
-137793371#1;0
-137793372#0;34
-137793372#1;33
-137803943#7;500
-137805196;63
-137805197;513
-137827146#1;514
-137952375#0;23
-137952375#1;50
-137952456#2;38
-137952456#3;32
-137952464;562
-137952465#2;505
-137952507;47
-137952508;14
-137952509#0;326
-137952509#1;347
-137952512;44
-137952513;26
-137952514#2;627
-137952515;38
-137952517;42
-137952518;26
-138074841;191
-138076162#0;87
-138076162#1;25
-138076162#2;4
-138076162#3;2
-138076162#4;10
-138076162#5;9
-138076162#6;22
-138076164;392
-138258215#0;61
-138258215#1;19
-138267322;1
-138294205#0;184
-138294205#1;132
-138391874;36
-138395018;376
-138395019#0;342
-138395019#1;428
-138395019#4;417
-138395021;16
-138395022#0;54
-138395022#1;74
-138395022#2;67
-138550001;608
-138567007;2
-138567013;3
-138581054;7
-138583382#0;3
-138583382#1;4
-138583382#2;9
-138583382#4;6
-138583382#6;3
-138583382#7;0
-138587011;6
-138619768;36
-138695418;8
-138698765;71
-138782845;76
-138785112;54
-138813521;287
-138813526#1;208
-138813526#2;159
-138813526#3;205
-138892614;23
-138895009#1;290
-138895009#2;332
-138895009#5;931
-138895010#0;291
-138982219;17
-138986598;65
-138997969;44
-138997970;28
-138997971;11
-138997972;17
-138997974#0;74
-138997974#1;63
-138997974#2;89
-138997974#3;111
-138997976;26
-138997979;15
-138997980#0;73
-138997980#1;79
-138997981#0;69
-138997981#1;79
-138997981#2;16
-138997981#3;41
-138997982#2;115
-138997983;6
-138997984#2;242
-138997985#2;366
-138997986#2;459
-139017603;2
-139072194;5
-139107046#0;199
-139107046#1;106
-139112460;12
-139360296;25
-139360302;40
-139360304#0;17
-139360304#1;34
-139360304#2;16
-139439736;1
-139503778;4
-139503781;83
-139505902#0;22
-139505902#1;16
-139509876;17
-139509877;4
-139509878;23
-139734131#0;14
-139734131#1;7
-139822484#1;165
-139822490#1;238
-139846653;31
-139887674#2;756
-140052197;339
-140052199#1;379
-140067039#0;3
-140067039#1;5
-140067039#2;31
-140177544;124
-140177550;127
-140177551#0;125
-140222993;201
-14028606#0;93
-14028606#1;110
-14028607;27
-14028609;96
-14034530#1;97
-14035752#2;920
-14035765#2;272
-14035778#0;5
-14035778#1;14
-14035778#2;15
-14035778#3;24
-14035779#0;439
-14035779#1;442
-14035779#2;355
-14035781;348
-14035784#0;396
-14035784#3;409
-140358942#2;522
-140358942#3;508
-140358942#6;510
-140358943#2;1542
-140435772#2;71
-14046482;93
-14047088;6
-140611272#0;40
-140611276#0;98
-140611276#2;159
-140827336;162
-140827337;140
-140834362;5
-140953378;154
-141053267#0;106
-141053269;101
-141053270#0;82
-141053270#1;81
-141053272;9
-141054988#2;814
-141057944;272
-141059172;23
-141067173;20
-141069503#0;21
-141069503#1;15
-141069503#2;10
-141069503#3;19
-141069503#4;33
-141091080;5
-141190876#0;57
-141190876#1;68
-141190877#0;113
-141235336#0;30
-141235336#1;7
-141235346#0;20
-141235346#1;9
-141235348#0;6
-141235348#1;0
-141235348#2;5
-141262583;21
-141262586#0;34
-141262586#1;36
-141323413;27
-141323414;43
-141350845;53
-141350852;11
-141350853#0;56
-141350853#1;40
-141355662#0;55
-141355662#1;30
-141355662#2;23
-141355662#3;32
-141355662#5;76
-141389196#2;3
-141392384;1145
-141392390#3;1135
-141393875;139
-141412044#0;140
-141412044#1;99
-141412046;29
-141412049;93
-141412068#0;38
-141412068#1;16
-141412071;42
-141412072#0;70
-141412072#1;78
-141509425#0;40
-141509425#1;27
-141509425#2;35
-141509425#3;38
-141515392#0;206
-141515392#1;210
-141515392#3;218
-141515393;7
-141515394;8
-141515397#0;28
-141515397#1;15
-141515398;24
-141515402;63
-141515403#0;14
-141515403#1;15
-141515404;32
-141515452#0;205
-141515452#1;206
-141515452#2;192
-141515453;7
-141519751;19
-141612707;131
-141624821;675
-141624823;1108
-141624825#1;1239
-141624826;230
-141642494#2;1003
-141642494#3;1067
-141642498;70
-141642500;53
-141670272;54
-141670273#0;11
-141670273#1;33
-141670273#2;22
-141670280#0;252
-141670280#1;244
-141670280#3;228
-141670284;11
-141670289#0;37
-141670289#1;40
-141670289#2;38
-141670294#0;39
-141670294#1;23
-141726194;126
-141726195;65
-141726196;10
-141726197;137
-141726198;106
-141788131#0;100
-141788131#2;72
-141788131#3;37
-141790484;10
-141792124#0;13
-141792124#2;66
-141795299;218
-141795316;1
-141802043#0;144
-141802043#1;42
-141802043#2;21
-141802043#3;8
-141806262#0;47
-141806262#1;5
-141809343;10
-141809349#0;17
-141809349#1;26
-141809349#2;31
-141810961#0;1
-141810961#1;1
-141810961#2;6
-141810965#0;45
-141810965#1;58
-141813341#0;8
-141813341#1;12
-141813341#2;115
-141815401;8
-141815405#0;7
-141815405#1;11
-141815405#2;5
-141815405#3;3
-141815405#4;0
-141815406#0;4
-141815406#1;0
-141847753;6
-141847766;6
-141864405;0
-141864406;1
-141870880;432
-141874691;273
-141931988#0;116
-141931988#1;105
-141931988#2;73
-141931988#3;68
-141931988#4;76
-141931992#1;2238
-141931996#1;843
-141931996#2;857
-141931997;292
-142030529;107
-142030531;831
-142030532#0;6
-142030532#1;16
-142030532#2;29
-142030532#3;56
-142030532#4;69
-142030532#5;107
-142030535#0;40
-142030535#1;54
-142030535#2;52
-142030536;9
-142037808#0;29
