runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles
kelheim;21;2;821855.1;232593.86;0.28;816004.04;410927.55;116296.93;408002.02;0.99;1.44;0
kelheim;22;2;782601.21;179329.12;0.23;865501.29;391300.61;89664.56;432750.65;1.11;1.38;0
kelheim;23;2;796540.59;214187.55;0.27;891503.45;398270.3;107093.78;445751.73;1.12;1.33;0
kelheim;24;2;814789.99;218084;0.27;834879.76;407395;109042;417439.88;1.02;1.46;0
kelheim;25;2;837342.24;220842.25;0.26;841937.46;418671.12;110421.13;420968.73;1.01;1.42;0
kelheim;26;2;780007.25;193867.21;0.25;882777.86;390003.63;96933.61;441388.93;1.13;1.35;0
kelheim;27;2;823355.82;238634.66;0.29;842930.89;411677.91;119317.33;421465.45;1.02;1.41;0
kelheim;28;2;800225.5;181301.37;0.23;853120.99;400112.75;90650.69;426560.5;1.07;1.43;0
kelheim;29;2;743854.89;218737.97;0.29;759736.85;371927.45;109368.99;379868.43;1.02;1.45;0
kelheim;30;2;742643.93;184072.94;0.25;823657.73;371321.97;92036.47;411828.87;1.11;1.4;0
kelheim;31;2;811175.61;226031.37;0.28;842181.48;405587.81;113015.69;421090.74;1.04;1.49;0
kelheim;32;2;794793.42;195089.84;0.25;890208.78;397396.71;97544.92;445104.39;1.12;1.37;0
kelheim;33;2;797037.05;224129;0.28;789330.63;398518.53;112064.5;394665.32;0.99;1.42;0
kelheim;34;2;785798.86;221746.45;0.28;768380.67;392899.43;110873.23;384190.34;0.98;1.47;0
kelheim;35;2;788162.57;216840.27;0.28;792791.71;394081.29;108420.13;396395.86;1.01;1.47;0
kelheim;36;2;785389.81;199903.8;0.25;853645.29;392694.91;99951.9;426822.65;1.09;1.45;0
kelheim;37;2;790779.32;208036.92;0.26;795536.62;395389.66;104018.46;397768.31;1.01;1.49;0
kelheim;38;2;716999.98;177320.97;0.25;733006.71;358499.99;88660.49;366503.35;1.02;1.39;0
kelheim;39;2;753920.06;190295.75;0.25;806056.84;376960.03;95147.88;403028.42;1.07;1.43;0
kelheim;40;2;677040.12;188073.76;0.28;696646.96;338520.06;94036.88;348323.48;1.03;1.43;0
kelheim;41;2;745020.72;204067.55;0.27;776075.59;372510.36;102033.78;388037.8;1.04;1.45;0
kelheim;42;2;683162.09;166221.28;0.24;696771.18;341581.05;83110.64;348385.59;1.02;1.38;0
kelheim;43;2;751488.73;217862.67;0.29;734587.35;375744.37;108931.34;367293.68;0.98;1.48;0
kelheim;44;2;770681.13;245434.02;0.32;717979.31;385340.57;122717.01;358989.66;0.93;1.56;0
kelheim;45;2;758869.21;235194.16;0.31;703557.22;379434.61;117597.08;351778.61;0.93;1.54;0
