Iteration	bicycle_travel	bicycle_wait	car_travel	car_wait	freight_travel	freight_wait	pt_travel	pt_wait	ride_travel	ride_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
222	144136	0	216793	0	2375	0	108718	32321	73218	0	0	0	290846	0
223	144287	0	216648	0	2371	0	108769	32315	73243	0	0	0	291161	0
224	143665	0	216672	0	2366	0	108820	31909	73207	0	0	0	291534	0
225	144241	0	216572	0	2372	0	108811	31873	73189	0	0	0	291302	0
226	143552	0	217056	0	2375	0	108769	31966	73184	0	0	0	290730	0
227	144296	0	216583	0	2368	0	108666	31699	73201	0	0	0	292334	0
228	144082	0	216568	0	2372	0	108597	31955	73200	0	0	0	292648	0
229	143973	0	216825	0	2388	0	108884	32256	73197	0	0	0	291775	0
230	143934	0	216685	0	2375	0	108844	32011	73199	0	0	0	290687	0
231	144140	0	216663	0	2389	0	108873	31813	73164	0	0	0	291598	0
232	144127	0	216364	0	2360	0	108804	31827	73188	0	0	0	291528	0
233	143744	0	216413	0	2365	0	108794	31956	73182	0	0	0	292459	0
234	143847	0	216476	0	2366	0	108912	32084	73167	0	0	0	291139	0
235	143735	0	216180	0	2369	0	109001	32207	73131	0	0	0	291902	0
236	143857	0	216609	0	2383	0	108856	31970	73117	0	0	0	292020	0
237	143743	0	216204	0	2363	0	108922	31903	73120	0	0	0	291806	0
238	143760	0	216249	0	2374	0	108848	31745	73111	0	0	0	292170	0
239	143734	0	216279	0	2366	0	108829	32011	73130	0	0	0	291549	0
240	143396	0	216315	0	2359	0	108947	31770	73114	0	0	0	292846	0
241	143228	0	216558	0	2367	0	108964	31930	73130	0	0	0	291119	0
242	143577	0	216541	0	2372	0	108912	32134	73117	0	0	0	291894	0
243	143689	0	216363	0	2361	0	108989	32377	73129	0	0	0	291350	0
244	143902	0	216202	0	2362	0	108832	32072	73096	0	0	0	292184	0
245	143654	0	216363	0	2357	0	108818	32121	73089	0	0	0	291804	0
246	143996	0	216419	0	2369	0	108874	31965	73108	0	0	0	292034	0
247	143461	0	216963	0	2393	0	108936	31986	73102	0	0	0	291630	0
248	143447	0	216547	0	2381	0	108949	32236	73108	0	0	0	292090	0
249	143645	0	216497	0	2366	0	108892	31764	73061	0	0	0	291933	0
250	143538	0	216384	0	2361	0	109009	31852	73100	0	0	0	290514	0
251	143233	0	216457	0	2367	0	108977	32173	73080	0	0	0	291491	0
252	143355	0	216380	0	2367	0	109090	32019	73094	0	0	0	291645	0
253	143000	0	216375	0	2367	0	108911	32002	73092	0	0	0	292328	0
254	142836	0	216412	0	2353	0	108980	32022	73048	0	0	0	291552	0
255	143191	0	216220	0	2359	0	109024	31944	73058	0	0	0	292092	0
256	143090	0	215856	0	2370	0	109311	31997	73050	0	0	0	291652	0
257	143062	0	216279	0	2355	0	109133	32361	73022	0	0	0	291900	0
258	143242	0	216241	0	2357	0	109149	32284	73055	0	0	0	292486	0
259	142910	0	215840	0	2353	0	109283	31770	73057	0	0	0	292151	0
260	143365	0	216018	0	2351	0	109021	31883	73041	0	0	0	292490	0
261	143156	0	215937	0	2354	0	109207	31984	73034	0	0	0	291559	0
262	142954	0	215857	0	2351	0	109226	32110	72995	0	0	0	293131	0
263	143160	0	215633	0	2351	0	109279	31790	73044	0	0	0	293021	0
264	143224	0	216170	0	2357	0	109134	31730	73030	0	0	0	291635	0
265	143525	0	215893	0	2351	0	109194	32061	73028	0	0	0	292319	0
266	143346	0	216022	0	2356	0	109113	32426	73035	0	0	0	291361	0
267	143164	0	215896	0	2355	0	109258	32230	72989	0	0	0	291768	0
268	143043	0	215569	0	2356	0	109311	32366	72993	0	0	0	293205	0
269	143063	0	215971	0	2348	0	109077	31818	73004	0	0	0	292717	0
270	143156	0	215950	0	2352	0	109103	32039	72999	0	0	0	292093	0
271	143179	0	215796	0	2354	0	109199	32021	73043	0	0	0	292035	0
272	143249	0	216198	0	2359	0	109187	32135	72988	0	0	0	291128	0
273	142980	0	215802	0	2343	0	109197	31817	72987	0	0	0	292260	0
274	143322	0	215888	0	2355	0	109039	31564	72956	0	0	0	292854	0
275	143261	0	216006	0	2349	0	109098	32035	72988	0	0	0	290844	0
276	143212	0	216044	0	2354	0	109145	31739	72970	0	0	0	290653	0
277	143732	0	215676	0	2355	0	108953	31671	72955	0	0	0	292053	0
278	143296	0	215789	0	2350	0	109134	32020	72953	0	0	0	291780	0
279	142914	0	216094	0	2351	0	109142	31890	72963	0	0	0	291130	0
280	143658	0	215446	0	2337	0	109229	31652	72950	0	0	0	291645	0
281	143148	0	215763	0	2354	0	109357	32137	72932	0	0	0	291813	0
282	143223	0	215781	0	2352	0	109159	31676	72968	0	0	0	292932	0
283	143100	0	215487	0	2349	0	109279	31891	72975	0	0	0	291945	0
284	143253	0	215513	0	2347	0	109138	31700	72960	0	0	0	292291	0
285	143021	0	215761	0	2360	0	109269	31694	72927	0	0	0	292559	0
286	143229	0	215726	0	2344	0	108910	31676	72930	0	0	0	292486	0
287	142841	0	215785	0	2358	0	109292	32231	72907	0	0	0	291646	0
