Iteration	bicycle	car	freight	pt	ride	walk
360	1605731	8329759	69338	3393663	2837051	1109715
361	1607699	8332973	69338	3390905	2837106	1109949
362	1602887	8336059	69276	3386720	2836349	1112421
363	1607766	8329418	69347	3390123	2836408	1113027
364	1606049	8326238	69414	3395721	2836106	1111358
365	1604546	8329094	69341	3393479	2835716	1112802
366	1607122	8328916	69291	3392619	2836176	1110423
367	1606486	8336737	69260	3389849	2836091	1106795
368	1610790	8328356	69201	3392915	2835323	1108433
369	1608191	8328081	69311	3389770	2836524	1113506
370	1605429	8329965	69251	3392137	2835747	1107740
371	1604654	8327285	69280	3390049	2835584	1113110
372	1609793	8330994	69309	3385168	2836717	1106787
373	1607093	8331568	69231	3391460	2837040	1108339
374	1604760	8330807	69369	3391747	2836765	1110105
375	1609435	8326200	69358	3386702	2836098	1110655
376	1607393	8331567	69437	3386471	2836426	1106806
377	1605676	8329300	69344	3388511	2835798	1110030
378	1604475	8329377	69389	3390186	2836321	1109898
379	1604455	8322119	69350	3389258	2835614	1115294
380	1607256	8329674	69392	3389190	2835948	1108933
381	1602329	8329308	69295	3388593	2836493	1112900
382	1603549	8326603	69298	3392598	2834817	1111113
383	1610109	8328559	69253	3384916	2835942	1107679
384	1604806	8325054	69217	3391534	2835483	1111418
385	1601953	8330256	69203	3388855	2835318	1112280
386	1610575	8332122	69207	3382294	2835692	1109769
387	1605725	8327557	69162	3390588	2835251	1111037
388	1606423	8321614	69154	3392569	2835628	1112836
389	1603533	8320434	69119	3395480	2836195	1113666
390	1605065	8327614	69151	3394648	2835141	1106517
391	1608663	8322652	69116	3391114	2834898	1109200
392	1602770	8320964	69057	3396671	2835041	1112657
393	1600979	8328704	69105	3390923	2834238	1111527
394	1604479	8326541	69169	3394667	2835045	1107433
395	1600412	8326962	69066	3396248	2834688	1109978
396	1604290	8328953	69066	3391626	2835607	1108145
397	1608907	8319694	69093	3395203	2836362	1110018
398	1600435	8330108	69171	3390312	2835285	1112858
399	1604621	8324218	69231	3391964	2835610	1108471
400	1605041	8321019	69120	3392555	2834817	1112613
401	1559833	8428573	68803	3437044	2824855	1009213
402	1559595	8427606	68780	3437270	2824837	1009230
403	1559571	8426867	68795	3437336	2824786	1009245
404	1559377	8426187	68769	3437293	2824691	1009252
405	1559276	8426035	68775	3436972	2824682	1009225
406	1559242	8425574	68763	3436970	2824606	1009219
407	1559100	8425340	68731	3436899	2824575	1009230
408	1559010	8424987	68692	3436955	2824545	1009222
409	1558861	8424500	68673	3436963	2824526	1009257
410	1558815	8424220	68660	3436708	2824520	1009253
411	1558811	8423935	68655	3436386	2824468	1009255
412	1558699	8423836	68636	3436018	2824495	1009245
413	1558638	8423595	68617	3436099	2824485	1009215
414	1558495	8422874	68638	3436402	2824434	1009243
415	1558418	8422322	68603	3436559	2824480	1009244
416	1558279	8421736	68613	3436863	2824475	1009263
417	1558240	8421497	68599	3436767	2824536	1009280
418	1558121	8421429	68584	3436583	2824507	1009274
419	1558093	8420907	68570	3436666	2824483	1009243
420	1557855	8420715	68550	3436728	2824477	1009273
421	1557610	8420675	68547	3436590	2824488	1009273
422	1557652	8420588	68532	3436403	2824471	1009250
423	1557580	8420525	68535	3436166	2824456	1009262
424	1557725	8420463	68536	3435765	2824447	1009230
425	1557601	8420390	68537	3435528	2824443	1009212
426	1557624	8419841	68536	3435780	2824425	1009232
427	1557767	8419734	68530	3435465	2824426	1009189
428	1557689	8419452	68502	3435384	2824492	1009197
429	1557679	8419106	68465	3435318	2824461	1009215
430	1557658	8418575	68465	3435400	2824473	1009209
431	1557485	8418329	68458	3435444	2824479	1009208
432	1557426	8418376	68443	3435082	2824440	1009211
433	1557539	8418011	68453	3434886	2824443	1009162
434	1557288	8417863	68423	3434899	2824386	1009179
435	1557099	8417836	68427	3434897	2824393	1009189
436	1557110	8417695	68390	3434682	2824361	1009142
437	1557029	8417486	68407	3434563	2824334	1009154
438	1556903	8417265	68388	3434520	2824211	1009168
439	1556664	8416778	68382	3434977	2824211	1009200
440	1556712	8416318	68386	3435028	2824208	1009205
441	1556620	8416153	68365	3435264	2824164	1009208
442	1556628	8416397	68352	3434819	2824143	1009183
443	1556650	8416057	68347	3434837	2824223	1009172
444	1556557	8416144	68344	3434685	2824217	1009180
445	1556635	8415778	68341	3434643	2824271	1009157
446	1556632	8415678	68340	3434555	2824310	1009149
447	1556609	8415715	68350	3434343	2824317	1009112
448	1556585	8415864	68337	3434085	2824355	1009098
449	1556437	8415629	68309	3433983	2824269	1009108
450	1556602	8415502	68306	3433829	2824220	1009075
451	1556571	8415012	68302	3433788	2824272	1009040
452	1556433	8414793	68282	3433836	2824272	1009033
453	1556430	8414726	68273	3433567	2824324	1009029
454	1556509	8414271	68279	3433709	2824365	1009035
455	1556485	8414054	68264	3433811	2824420	1009043
456	1556440	8413824	68263	3433756	2824404	1009058
457	1556277	8413718	68256	3433768	2824419	1009080
458	1556377	8413420	68252	3433681	2824441	1009065
459	1556394	8413347	68234	3433499	2824480	1009050
460	1556327	8413218	68224	3433345	2824502	1009042
461	1556453	8412808	68234	3433401	2824530	1009016
462	1556158	8412955	68249	3433280	2824560	1009046
463	1555969	8413178	68244	3433146	2824556	1009076
464	1555640	8413294	68238	3433231	2824602	1009116
465	1555566	8413177	68212	3433383	2824653	1009129
466	1555529	8413092	68199	3433169	2824674	1009103
467	1555435	8412595	68200	3433509	2824724	1009104
468	1555456	8412353	68181	3433494	2824622	1009102
469	1555628	8411651	68176	3433706	2824703	1009103
470	1555578	8411244	68170	3433921	2824767	1009110
471	1555549	8411044	68162	3433905	2824843	1009118
472	1555596	8410913	68139	3433792	2824830	1009117
473	1555609	8410811	68132	3433637	2824918	1009115
474	1555653	8410679	68132	3433746	2824927	1009115
475	1555672	8410379	68126	3433628	2824915	1009110
476	1555673	8409960	68118	3433819	2824906	1009123
477	1555727	8409891	68109	3433797	2824941	1009106
478	1555790	8409703	68098	3433739	2824968	1009107
479	1555690	8410232	68096	3433423	2825040	1009088
480	1555752	8410010	68102	3433459	2825003	1009068
481	1555732	8409761	68083	3433623	2825026	1009081
482	1555781	8409588	68072	3433663	2825029	1009068
483	1555610	8409544	68085	3433837	2825092	1009093
484	1555583	8409315	68085	3433930	2825021	1009102
485	1555559	8409630	68093	3433598	2825055	1009094
486	1555484	8409507	68095	3433588	2825109	1009119
487	1555547	8409285	68099	3433518	2825230	1009088
488	1555533	8409271	68088	3433447	2825272	1009072
489	1555585	8408856	68084	3433483	2825244	1009063
490	1555422	8408792	68061	3433608	2825234	1009093
491	1555241	8409086	68049	3433500	2825248	1009121
492	1555331	8408786	68037	3433536	2825210	1009132
493	1555209	8408824	68034	3433563	2825264	1009172
494	1555181	8408686	68039	3433771	2825281	1009178
495	1555148	8408779	68032	3433712	2825353	1009184
496	1555133	8408856	68019	3433542	2825328	1009190
497	1555108	8409243	68015	3433109	2825355	1009160
498	1555120	8408843	68017	3433227	2825439	1009187
499	1555067	8408900	68003	3433054	2825460	1009187
500	1555015	8408764	68024	3432998	2825484	1009204
